Attack,Epsilon,Model,Top-1,Top-5,AttackLabel
Clean,0,ResNet-34,76.0,94.2,Clean ε=0
FGSM,0.02,ResNet-34,3.8,21.0,FGSM ε=0.02
PGD,0.02,ResNet-34,0.0,1.4,PGD ε=0.02
Patch-TGT,0.5,ResNet-34,3.0,17.6,Patch-TGT ε=0.5
Patch-UNTGT,0.5,ResNet-34,2.0,26.0,Patch-UNTGT ε=0.5
Clean,0,DenseNet-121,74.6,93.6,Clean ε=0
FGSM,0.02,DenseNet-121,45.6,75.8,FGSM ε=0.02
PGD,0.02,DenseNet-121,34.8,73.2,PGD ε=0.02
Patch-TGT,0.5,DenseNet-121,69.2,89.2,Patch-TGT ε=0.5
Patch-UNTGT,0.5,DenseNet-121,64.8,89.2,Patch-UNTGT ε=0.5
